"Family","Scientific Name","Common Name","Category","Height","Width","Est Root Vol.","Surface Area (m2)","Field Size Index","Shape/Habit","Est. Crown Clearance (m)","Natural Form","Est. Lifespan (years)","Growth rate","Shade Density","Deciduous","Leaf/Fruit drop","Aspect","Powerlines","Drought","Wind","Salt","Water Req.","Drainage","Soil Types","Root Vigour","Uses","Appeal/Value","Weed Risk","Commercially Available"
"LAMIACEAE","Gmelina","White","Trial",15,10,47,78,124,"Round",">5m","Lateral",">50","Fast","Medium","Yes","Moderate","Full","No","Moderate","Low","Low","Moderate","Moderate,Well","Sand,Loam,Clay","Minor","Parks","Flowers,Foliage,Attracts","Low","No"
"PROTEACEAE","Grevillea","Brown","Australian",10,4,8,13,36,"Oval","1.5-3m","Bush","25-50","Moderate","Medium","No","Low","Full","No","Moderate","Low","Low","Moderate","Well","Sand,Loam","Major","Residential,Parks","Flowers,Attracts","High","Yes"
"PROTEACEAE","Grevillea","White","Australian",12,6,17,28,58,"Oval","<1.5m","Bush",">50","Fast","Medium","No","Low","Full","No","Low","Low","Low","Moderate","Well","Sand,Loam","Minor","Residential,Parks","Flower,Attracts","Low","Yes"
"SAPINDACEAE","Guioa","Guioa","Trial",6,4,8,13,14,"Round","1.5-3m","Lateral","25-50","Fast","Dense","No","Moderate","Full","No","High","High","High","Low","Poor,Moderate,Well","Sand,Loam,Clay","Minor","CBD,Residential,Parks","Foliage,Attracts","Low","No"
"SAPINDACEAE","Harpullia","Blunt","Australian",12,8,30,50,58,"Round","1.5-3m","Lateral","25-50","Fast","Dense","No","Moderate","Full","No","Low","Moderate","Low","Moderate","Poor,Moderate,Well","Sand,Loam,Clay","Minor","Residential,Parks","Foliage","Low","Yes"
"SAPINDACEAE","Harpullia","Tulipwood","Australian",10,6,17,28,40,"Round","3m","Lateral","25-50","Fast","Medium","No","Low","Full","No","Low","Moderate","Low","Moderate","Poor,Moderate,Well","Sand,Loam,Clay","Minor","Residential,Parks","Foliage","Low","Yes"
"MALVACEAE","Hibiscus","Green","Australian",7,5,20,33,20,"Round","<1.5m","Bush","<25","Moderate","Dense","No","Moderate","Full","Yes-Pruned","High","High","High","Low","Well","Sand,Loam","Moderate","Residential,Parks","Flowers","Low","Yes"
"MALVACEAE","Hibiscus","Bronze","Australian",6,4,8,13,14,"Round","<1.5m","Bush","<25","Moderate","Dense","No","Moderate","Full","Yes-Pruned","Moderate","High","High","Low","Well","Sand,Loam","Moderate","Residential,Parks","Flowers","Low","Yes"
"PITTOSPORACEAE","Hymenosporum","Native","Australian",8,4,8,13,26,"Oval","1.5-3m","Bush","25-50","Fast","Medium","No","Low","Full","No","Low","Low","Low","Moderate","Moderate,Well","Sand,Loam","Minor","Residential,Parks","Flowers,Foliage,Attracts","Low","Yes"
"BIGNONIACEAE","Jacaranda","Jacaranda","Exotic",12,8,30,50,58,"Round,Spreading","1.5-3m","Lateral",">50","Fast","Medium","Semi","Low","Full","No","Moderate","Low","Low","Moderate","Poor,Moderate,Well","Sand,Loam,Clay","Moderate","Residential,Parks","Flowers","High","Yes"
"BIGNONIACEAE","Jacaranda","Jacaranda","Exotic",12,8,30,50,58,"Round,Spreading","1.5-3m","Lateral",">50","Fast","Medium","Semi","Low","Full","No","Moderate","Low","Low","Moderate","Poor,Moderate,Well","Sand,Loam,Clay","Moderate","Residential,Parks","Flowers","High","Yes"
"CUPPRESSACEAE","Juniperus","Green","Exotic",10,4,8,13,36,"Columnar","<1.5m","Bush",">50","Moderate","Medium","No","Low","Full","No","High","High","Moderate","Moderate","Moderate,Well","Sand,Loam,Clay","Minor","Residential,Parks","Foliage","Low","Yes"
"LYTHRACEAE","Lagerstoemia","Crepe","Exotic",4,3,4,7,4,"Round,Vase","<1.5m","Multi-trunked,Low","25-50","Fast","Low","Yes","Low","Full","Yes-Pruned","High","Moderate","Moderate","Low","Moderate,Well","Sand,Loam,Clay","Minor","CBD,Residential,Parks","Flowers,Bark/Trunk","Low","Yes"
"LYTHRACEAE","Lagerstroemia","White","Exotic",3,3,4,7,2,"Round,Vase","<1.5m","Multi-trunked,Low","25-50","Fast","Low","Yes","Low","Full","Yes-Under","High","Moderate","Moderate","Low","Moderate,Well","Sand,Loam,Clay","Minor","CBD,Residential,Parks","Flowers,Bark/Trunk","Low","No"
"LYTHRACEAE","Lagersroemia","Crepe","Exotic",4,3,4,7,3,"Vase","<1.5m","Multi-trunked,Low","25-50","Fast","Low","Yes","Low","Full","Yes-Pruned","Moderate","Moderate","Moderate","Low","Moderate","Sand,Loam,Clay","Minor","CBD,Residential,Parks","Flowers,Bark/Trunk","Low","Yes"
"LYTHRACEAE","Lagerstroemia","Crepe","Exotic",6,4,15,25,14,"Round,Vase","1.5-3m","Multi-trunked,Low","25-50","Fast","Low","Yes","Low","Full","Yes-Pruned","High","Moderate","Moderate","Low","Moderate,Well","Sand,Loam,Clay","Minor","Residential,Parks","Flowers,Bark/Trunk","Low","Yes"
"LYTHRACEAE","Lagerstroemia","Queen's","Exotic",12,8,30,50,58,"Round","1.5-3m","Lateral",">50","Fast","Medium","No","Low","Full","No","Moderate","Moderate","Low","Moderate","Moderate,Well","Sand,Loam","Moderate","Residential,Parks","Flowers,Bark/Trunk","Low","Yes"
"LYTHRACEAE","Lagerstroemia","Crepe","Exotic",6,4,8,13,14,"Round,Vase","1.5-3m","Multi-trunked,Low","25-50","Fast","Low","Yes","Low","Full","Yes-Pruned","High","Moderate","Moderate","Low","Moderate,Well","Sand,Loam,Clay","Minor","CBD,Residential,Parks","Flowers,Bark/Trunk","Low","Yes"
"LYTHRACEAE","Lagerstroemia","Crepe","Exotic",3,3,4,7,3,"Round,Vase","<1.5m","Multi-trunked,Low","25-50","Fast","Low","Yes","Low","Full","Yes-Pruned","Moderate","Moderate","Moderate","Low","Moderate,Well","Sand,Loam,Clay","Minor","CBD,Residential,Parks","Flowers,Bark/Trunk","Low","Yes"
"LYTHRACEAE","Lagerstroemia","Crepe","Exotic",4,3,4,7,3,"Round,Vase","<1.5m","Multi-trunked,Low","25-50","Fast","Low","Yes","Low","Full","Yes-Pruned","Moderate","Moderate","Moderate","Low","Moderate,Well","Sand,Loam,Clay","Minor","CBD,Residential,Parks","Flowers,Bark/Trunk","Low","Yes"
"MYRTACEAE","Leptospermum","Tea","Australian",3,2,2,3,3,"Round","<1.5m","Bush","<25","Fast","Low","No","Low","Full","Yes","Moderate","Moderate","Moderate","Moderate","Moderate,Well","Sand,Loam,Clay","Minor","Residential","Attracts","Low","Yes"
"MYRTACEAE","Leptospermum","Tea","Australian",3,2,2,3,3,"Round","<1.5m","Bush","<25","Fast","Low","No","Low","Full","Yes","Moderate","Moderate","Moderate","Moderate","Moderate,Well","Sand,Loam,Clay","Minor","Residential","Attracts","Low","Yes"
"FABACEAE","Libidibia","Leopard","Exotic",12,8,30,50,58,"Round,Spreading","3-5m","Lateral",">50","Fast","Low","Semi","High","Full","No","High","High","High","Moderate","Moderate,Well","Sand,Loam,Clay","Major","Parks","Flowers","High","Yes"
"MALVACEAE","Liriodendron","Tulip","Exotic",20,12,68,113,220,"Conical/Pyrimidal",">5m","Lateral",">50","Fast","Moderate","Yes","Moderate","Full","No","Low","High","Moderate","High","Poor,Moderate,Well","Loam,Clay","Major","Parks","Flowers,Foliage","Low","Yes"
"ARECACEAE","Livistona","Cabbage","Local",20,4,8,13,160,"Palm",">5m","Umbrella-shaped,Vertical/Upright",">50","Slow","Low","No","Moderate","Full","No","Low","High","Moderate","Moderate","Poor,Moderate,Well","Sand,Loam","Minor","Residential,Parks","Foliage,Bark/Trunk","Low","No"
"MYRTACEAE","Lophostemon","Qld","Australian",15,10,47,78,124,"Broad-domed",">5m","Lateral",">50","Moderate","Dense","No","Moderate","Full","No","High","High","Moderate","Low","Moderate,Well","Sand,Loam,Clay","Major","Residential,Parks","Flowers,Attracts","Low","Yes"
"PROTEACEAE","Macadamia","Queensland","Australian",12,6,74,123,78,"Upright/Vertical","1.5-3m","Vertical/Upright","25-50","Moderate","High","No","Moderate","Full","No","Low","Moderate","Low","Moderate","Well","Sand,Loam,Clay","Moderate","Residential,","Fruit,","Low","Yes"
